benchmark,nanos,unixts.after,unixts.before
db-shootout,9473952436,1587025033843,1587025024369
db-shootout,7778240932,1587025041622,1587025033844
db-shootout,8048233922,1587025049670,1587025041622
db-shootout,7241780688,1587025056912,1587025049670
db-shootout,7265046949,1587025064178,1587025056913
db-shootout,7305626601,1587025071483,1587025064178
db-shootout,6956368549,1587025078440,1587025071484
db-shootout,7363976820,1587025085804,1587025078440
db-shootout,7440234753,1587025093245,1587025085804
db-shootout,7673555700,1587025100918,1587025093245
db-shootout,7326956164,1587025108245,1587025100918
db-shootout,7357409019,1587025115603,1587025108245
db-shootout,6876360039,1587025122479,1587025115603
db-shootout,7258383106,1587025129738,1587025122480
db-shootout,9907670253,1587025139646,1587025129738
db-shootout,7302578997,1587025146949,1587025139646
naive-bayes,16129710255,1587026877325,1587026861195
naive-bayes,11075583161,1587026888401,1587026877325
naive-bayes,9449588301,1587026897850,1587026888401
naive-bayes,10216475521,1587026908067,1587026897850
naive-bayes,9213143195,1587026917280,1587026908067
naive-bayes,9454879579,1587026926735,1587026917280
naive-bayes,9537138453,1587026936272,1587026926735
naive-bayes,9169964319,1587026945442,1587026936272
naive-bayes,9308694358,1587026954751,1587026945443
naive-bayes,9538063205,1587026964289,1587026954751
naive-bayes,9469308905,1587026973759,1587026964289
naive-bayes,9310738704,1587026983070,1587026973759
naive-bayes,9253921078,1587026992324,1587026983070
naive-bayes,9978333482,1587027002302,1587026992324
naive-bayes,9420465136,1587027011723,1587027002302
naive-bayes,9343386386,1587027021066,1587027011723
naive-bayes,9699786861,1587027030766,1587027021066
naive-bayes,9818037386,1587027040584,1587027030766
naive-bayes,9167470057,1587027049752,1587027040584
naive-bayes,9402037918,1587027059154,1587027049752
naive-bayes,9419368269,1587027068573,1587027059154
naive-bayes,9603226288,1587027078177,1587027068573
naive-bayes,9171287356,1587027087348,1587027078177
naive-bayes,9127902694,1587027096476,1587027087348
naive-bayes,9708916929,1587027106185,1587027096476
naive-bayes,9539916704,1587027115725,1587027106185
naive-bayes,9447298064,1587027125172,1587027115725
naive-bayes,9263903319,1587027134436,1587027125172
naive-bayes,9175337542,1587027143612,1587027134436
naive-bayes,9166928691,1587027152779,1587027143612
philosophers,4990143417,1587027681432,1587027676442
philosophers,3172638206,1587027684604,1587027681432
philosophers,3241994581,1587027687847,1587027684605
philosophers,3287149026,1587027691134,1587027687847
philosophers,3257316035,1587027694391,1587027691134
philosophers,3132967055,1587027697524,1587027694391
philosophers,3126656403,1587027700651,1587027697524
philosophers,3168184292,1587027703819,1587027700651
philosophers,3104556194,1587027706924,1587027703819
philosophers,3088281890,1587027710012,1587027706924
philosophers,3125140288,1587027713138,1587027710013
philosophers,3170595748,1587027716308,1587027713138
philosophers,3041911437,1587027719350,1587027716308
philosophers,3176532653,1587027722527,1587027719350
philosophers,3144170851,1587027725671,1587027722527
philosophers,3083142783,1587027728754,1587027725671
philosophers,3149200544,1587027731904,1587027728755
philosophers,3067005404,1587027734971,1587027731904
philosophers,3102252713,1587027738073,1587027734971
philosophers,3098420229,1587027741172,1587027738073
philosophers,3061084076,1587027744233,1587027741172
philosophers,3030474378,1587027747264,1587027744233
philosophers,3020067491,1587027750284,1587027747264
philosophers,3044313868,1587027753328,1587027750284
philosophers,3020539865,1587027756349,1587027753328
philosophers,3052412902,1587027759401,1587027756349
philosophers,3063224341,1587027762465,1587027759401
philosophers,3100212342,1587027765565,1587027762465
philosophers,3047035195,1587027768612,1587027765565
philosophers,3134484968,1587027771747,1587027768612
finagle-chirper,10922683759,1587025478726,1587025467422
finagle-chirper,6143050846,1587025484887,1587025478726
finagle-chirper,5696313244,1587025490591,1587025484887
finagle-chirper,5664079273,1587025496265,1587025490592
finagle-chirper,5515534616,1587025501789,1587025496265
finagle-chirper,5461728767,1587025507258,1587025501789
finagle-chirper,5460970352,1587025512732,1587025507259
finagle-chirper,5239281302,1587025517981,1587025512732
finagle-chirper,5308332651,1587025523299,1587025517981
finagle-chirper,5163901274,1587025528471,1587025523299
finagle-chirper,5169636229,1587025533652,1587025528471
finagle-chirper,5092519706,1587025538753,1587025533652
finagle-chirper,5163239912,1587025543928,1587025538753
finagle-chirper,5232327312,1587025549174,1587025543928
finagle-chirper,5034341849,1587025554219,1587025549174
finagle-chirper,5000165641,1587025559229,1587025554220
finagle-chirper,4969652666,1587025564209,1587025559229
finagle-chirper,5033840563,1587025569254,1587025564209
finagle-chirper,4869186531,1587025574136,1587025569255
finagle-chirper,4897546173,1587025579045,1587025574136
finagle-chirper,4791175508,1587025583847,1587025579045
finagle-chirper,4870967454,1587025588733,1587025583847
finagle-chirper,4801721212,1587025593546,1587025588734
finagle-chirper,4826624323,1587025598384,1587025593546
finagle-chirper,4835125328,1587025603231,1587025598384
finagle-chirper,4793236407,1587025608035,1587025603231
finagle-chirper,4793835800,1587025612841,1587025608036
finagle-chirper,4718711435,1587025617571,1587025612841
finagle-chirper,4734063195,1587025622316,1587025617571
finagle-chirper,4678003781,1587025627006,1587025622316
finagle-chirper,4628398933,1587025631646,1587025627006
finagle-chirper,4762964953,1587025636420,1587025631646
finagle-chirper,4621811500,1587025641054,1587025636420
finagle-chirper,4706118431,1587025645771,1587025641054
finagle-chirper,4603566795,1587025650386,1587025645771
finagle-chirper,4698036491,1587025655096,1587025650386
finagle-chirper,4576515768,1587025659683,1587025655096
finagle-chirper,4616209007,1587025664311,1587025659684
finagle-chirper,4595014525,1587025668914,1587025664311
finagle-chirper,4526936781,1587025673452,1587025668914
finagle-chirper,4566220286,1587025678031,1587025673452
finagle-chirper,4557176573,1587025682600,1587025678031
finagle-chirper,4577228753,1587025687187,1587025682600
finagle-chirper,4562073945,1587025691759,1587025687187
